region,mapped_ift_class,squares,bulk_up_forecast,z3,forecast_area,reference_area,parcel_area_tot,r,group1,group2,group3,group,ownership,country
ES,UNCERTAIN,27,0,0,12923.6,13743.11271,11.305975657,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
ES,WOODLANDEDGE,179,0,0,99797.09,65808.24531,57.834157499,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
SS,BROADLEAF,212,0,0,57573.23,72610.85111,99.084651162,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
SS,CONIFER,422,0,0,104144.43,179414.8627,271.83595001,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
SS,TRANSITION,408,0,0,108395.86,92650.34678,278.19895641,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
SS,UNCERTAIN,74,0,0,29437.74,28394.22786,28.444862804,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
SS,WOODLANDEDGE,444,0,0,256331.78,165068.7472,161.1910409,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
W,BROADLEAF,451,0,0,114691.03,134642.2473,217.41872087,0,Group1:                .,Group2: 1 Storey,No group3,"Group1:                .                               , Group2: 1 Storey                                                                     , No group3",PS,Wales
W,CONIFER,235,0,0,37630.57,79520.87103,112.63973698,0,Group1:                .,Group2: 1 Storey,No group3,"Group1:                .                               , Group2: 1 Storey                                                                     , No group3",PS,Wales
W,TRANSITION,181,0,0,33571.9,33248.72398,95.955222902,0,Group1:                .,Group2: 1 Storey,No group3,"Group1:                .                               , Group2: 1 Storey                                                                     , No group3",PS,Wales
